Microbe	Code	TID
Clostridium methylpentosum	1076	537013.0
Clostridium sporosphaeroides	1077	1121334.0
Collinsella stercoris	1078	445975.0
Collinsella tanakaei	1079	742742.0
Coprobacter fastidiosus	1080	1349822.0
Coriobacterium glomerans	1084	700015.0
Desulfovibrio piger	1085	411464.0
Eggerthella sp. YY7918	1086	502558.0
Enorma massiliensis	1090	1118060.0
Enterorhabdus caecimuris	1094	1235794.0
Enterorhabdus mucosicola	1095	1121866.0
Eubacterium ramulus	1099	1256908.0
Firmicutes bacterium ASF500	1102	1378168.0
Fusarium pseudograminearum	1104	101028.0
Holdemania massiliensis	1105	1211819.0
Intestinimonas butyriciproducens	1106	1297617.0
Lachnospiraceae bacterium 10-1	1110	1235800.0
Lachnospiraceae bacterium 2_1_46FAA	1111	742723.0
Lachnospiraceae bacterium 3_1_57FAA_CT1	1112	658086.0
Lachnospiraceae bacterium A2	1113	397290.0
Oscillibacter ruminantium	1119	1007096.0
Oscillibacter sp. 1-3	1120	1235797.0
Oscillibacter valericigenes	1122	693746.0
Parabacteroides johnsonii	1123	999419.0
Prevotella multisaccharivorax	1125	688246.0
Ruminococcaceae bacterium D16	1126	552398.0
Ruminococcus bicirculans	1128	1160721.0
Senegalimassilia anaerobia	1133	1034345.0
Slackia heliotrinireducens	1138	471855.0
Slackia piriformis	1139	742818.0
Stomatobaculum longum	1140	796942.0
Streptococcus gordonii	1141	467705.0
Streptococcus peroris	1143	888746.0
Streptococcus sp. VT 162	1145	1419814.0
Subdoligranulum sp. 4_3_54A2FAA	1148	665956.0
Eubacterium infirmum F0142	1156	883109.0
Oribacterium sinus	1158	585501.0
Oribacterium sinus F0268	1159	585501.0
Sphingobium xenophagum	1161	1192759.0
Streptococcus australis	1162	888833.0
Fusobacterium perfoetens	1191	1408439.0
Mycoplasma genitalium	1192	243273.0
Clostridium butyricum	1221	632245.0
Parabacteroides merdae	1223	411477.0
Turicibacter sanguinis	1224	702450.0
Lactobacillus sanfranciscensis	1234	714313.0
Phascolarctobacterium succinatutens	1235	626939.0
Bifidobacterium animalis	1249	552531.0
Candida dubliniensis	1252	42374.0
Capnocytophaga canimorsus	1255	860228.0
Flavobacteriaceae bacterium 3519-10	1261	531844.0
Scardovia inopinata	1268	641146.0
Torulaspora delbrueckii	1272	4950.0
Pantoea agglomerans	1286	549.0
Oribacterium parvum	1340	796945.0
Clostridium clostridioforme	1341	742735.0
Robinsoniella peoriensis	1343	180332.0
Abiotrophia defectiva	1346	592010.0
Alistipes finegoldii	1347	679935.0
Alistipes onderdonkii	1348	1203611.0
Bacteroides eggerthii	1349	483216.0
Megamonas rupellensis	1353	1122217.0
Megasphaera micronuciformis	1354	706434.0
Prevotella corporis	1355	1122981.0
Ruminococcus gauvreauii	1357	1123075.0
Corynebacterium matruchotii	1358	553207.0
Porphyromonas catoniae	1360	1127696.0
Acinetobacter johnsonii	1366	575586.0
Cetobacterium somerae	1378	1319815.0
Lactobacillus iners	1380	713605.0
Parabacteroides gordonii	1383	1122931.0
Staphylococcus sciuri	1393	1232666.0
Bergeyella zoohelcum	1428	883096.0
Prevotella histicola	1429	1236504.0
Corynebacterium striatum	1433	525268.0
Enhydrobacter aerosaccus	1434	553217.0
Prevotella amnii	1437	679191.0
