Fold,AUC,AUPR,F1,Accuracy
1,0.9668818300209501,0.9705614716429449,0.8956986224346359,0.9015915119363396
2,0.9726397243638623,0.9733027236239654,0.8995459704880817,0.9062251655629139
3,0.9742346685853656,0.9757574959999854,0.9069767441860465,0.9129742637304324
4,0.976052008515268,0.9781445833353534,0.9169510807736063,0.9226694915254238
5,0.9793108991048344,0.9799365797566549,0.9155328798185941,0.9209758684699019
