0.94610	0.94869	0.93669	0.76320	0.88505	0.95129	0.80593	0.23169	0.41992	0.74545	0.94524	0.07226	0.25658	0.81262	0.94702	0.41501	0.94977	0.89416	0.93276	0.02737	0.56802	0.88374	0.94581	0.70334	0.52494	0.94943	0.60851	0.79918	0.14221	0.73539	0.69676	0.94716	0.94963	0.64315	0.03463	0.01957	0.89522	0.92599	0.75632	0.48555	0.02821	0.16972	0.50640
0.94378	0.94550	0.93458	0.76575	0.88393	0.94743	0.79970	0.22860	0.41668	0.73917	0.94153	0.07133	0.25730	0.80784	0.94394	0.41464	0.94783	0.88995	0.92841	0.02727	0.56327	0.87919	0.94456	0.69864	0.52101	0.94728	0.60521	0.79351	0.14318	0.72912	0.69044	0.94601	0.94662	0.63932	0.03538	0.02033	0.89077	0.92204	0.75008	0.48600	0.02875	0.16786	0.50273
0.94422	0.94641	0.93449	0.76550	0.88483	0.94818	0.80163	0.22922	0.41762	0.74075	0.94301	0.07161	0.25808	0.80978	0.94494	0.41547	0.94836	0.89181	0.93017	0.02760	0.56461	0.88117	0.94540	0.70033	0.52224	0.94831	0.60652	0.79540	0.14361	0.73087	0.69211	0.94671	0.94775	0.64075	0.03565	0.02036	0.89254	0.92405	0.75197	0.48714	0.02914	0.16832	0.50397
0.80305	0.80389	0.79383	0.66779	0.75897	0.80416	0.67960	0.21370	0.36898	0.62843	0.80156	0.08891	0.24845	0.69036	0.80311	0.37483	0.80756	0.75915	0.78992	0.05508	0.48706	0.74969	0.80839	0.59989	0.45415	0.80887	0.52536	0.67590	0.15387	0.62072	0.58858	0.80952	0.80636	0.55242	0.06393	0.05052	0.75853	0.78686	0.63864	0.43706	0.05844	0.16644	0.43972
0.93358	0.93559	0.92325	0.76093	0.87664	0.93687	0.79092	0.22696	0.41314	0.73054	0.93255	0.07265	0.25869	0.80030	0.93431	0.41332	0.93799	0.88179	0.91945	0.02958	0.55759	0.87099	0.93643	0.69206	0.51634	0.93873	0.60015	0.78528	0.14549	0.72082	0.68251	0.93775	0.93748	0.63357	0.03831	0.02282	0.88203	0.91403	0.74185	0.48507	0.03183	0.16766	0.49840
0.87764	0.87908	0.86830	0.72014	0.82518	0.88014	0.74283	0.22198	0.39431	0.68714	0.87569	0.07991	0.25277	0.75218	0.87781	0.39572	0.88198	0.82809	0.86292	0.04009	0.52750	0.81776	0.88074	0.65206	0.48965	0.88234	0.56751	0.73792	0.14817	0.67795	0.64248	0.88215	0.88075	0.59819	0.04863	0.03439	0.82806	0.85804	0.69738	0.46240	0.04248	0.16757	0.47302
0.94226	0.94447	0.93199	0.76539	0.88376	0.94598	0.79960	0.22891	0.41682	0.73885	0.94144	0.07201	0.25856	0.80822	0.94319	0.41540	0.94646	0.89025	0.92838	0.02797	0.56344	0.87943	0.94433	0.69899	0.52133	0.94702	0.60554	0.79361	0.14439	0.72893	0.69033	0.94565	0.94623	0.63949	0.03637	0.02084	0.89064	0.92256	0.75003	0.48721	0.02988	0.16843	0.50297
0.84418	0.84504	0.83485	0.69777	0.79618	0.84566	0.71387	0.21700	0.38228	0.65953	0.84238	0.08331	0.25194	0.72445	0.84417	0.38703	0.84863	0.79737	0.83040	0.04706	0.50839	0.78752	0.84868	0.62819	0.47299	0.84961	0.54848	0.70958	0.15132	0.65131	0.61711	0.84984	0.84736	0.57754	0.05597	0.04193	0.79718	0.82659	0.67028	0.45264	0.05013	0.16616	0.45762
0.82028	0.82100	0.81131	0.68028	0.77436	0.82171	0.69366	0.21500	0.37445	0.64124	0.81834	0.08650	0.24964	0.70426	0.82011	0.37974	0.82474	0.77478	0.80662	0.05165	0.49577	0.76517	0.82502	0.61142	0.46183	0.82569	0.53481	0.68967	0.15259	0.63328	0.60027	0.82616	0.82328	0.56270	0.06044	0.04686	0.77447	0.80307	0.65162	0.44324	0.05476	0.16623	0.44709
0.93715	0.93901	0.92772	0.76101	0.87836	0.94091	0.79467	0.22798	0.41472	0.73433	0.93535	0.07221	0.25735	0.80297	0.93751	0.41317	0.94127	0.88442	0.92253	0.02881	0.56002	0.87383	0.93831	0.69450	0.51820	0.94101	0.60190	0.78855	0.14392	0.72452	0.68607	0.93969	0.94029	0.63575	0.03692	0.02184	0.88522	0.91639	0.74544	0.48432	0.03040	0.16784	0.50020
