Fold,AUC,AUPR,F1,Accuracy
1,0.9737753587333003,0.9747263490904399,0.8938547486033519,0.8944444444444445
2,0.978,0.9821688756786697,0.92,0.9111111111111111
3,0.9813988095238094,0.9787595673157875,0.9050279329608939,0.9055555555555556
4,0.9654278305963699,0.9681599043726324,0.8926553672316384,0.8944444444444445
5,0.9919743178170144,0.9918068023217724,0.9444444444444444,0.9444444444444444
