Microorganism Name	Microorganism ID	TID
Stoquefichus massiliensis	717	1211844.0
Bacteroides dorei	719	357276.0
Enterobacter aerogenes	724	1028307.0
Atopobium parvulum	725	521095.0
Eubacterium hallii	734	411469.0
Bifidobacterium pseudocatenulatum	735	547043.0
Mycoplasma hominis	739	347256.0
Ureaplasma parvum	740	273119.0
Anaerococcus vaginalis	741	655811.0
Lactobacillus vaginalis	744	1423814.0
Enterococcus hirae	747	768486.0
Mycoplasma genitalium	748	243273.0
Mitsuokella multacida	752	500635.0
Phascolarctobacterium succinatutens	754	626939.0
Parabacteroides merdae	779	411477.0
Alistipes finegoldii	780	679935.0
Leptotrichia buccalis	782	523794.0
Blautia wexlerae	815	1121115.0
Odoribacter laneus	817	742817.0
Alloprevotella rava	851	679199.0
Catonella morbi	852	592026.0
Candida albicans	866	5476.0
Candida tropicalis	867	5482.0
Clostridium citroniae	870	742733.0
Porphyromonas asaccharolytica	871	879243.0
Streptococcus equi	880	40041.0
Adlercreutzia equolifaciens	881	1384484.0
Saccharomyces cerevisiae	890	4932.0
Cryptococcus neoformans	895	5207.0
Aspergillus clavatus	897	5057.0
Candida glabrata	900	5478.0
Prevotella enoeca	934	1235815.0
Prevotella bergensis	936	585502.0
Neisseria subflava	938	546268.0
Enhydrobacter aerosaccus	939	553217.0
Fibrobacter succinogenes	940	59374.0
Corynebacterium efficiens	941	196164.0
Corynebacterium matruchotii	942	553207.0
Streptococcus pyogenes	944	1314.0
Treponema vincentii	945	596324.0
Johnsonella ignava	947	679200.0
Exiguobacterium oxidotolerans	951	1397699.0
Dolosigranulum pigrum	953	883103.0
Bacteroides salyersiae	955	1121101.0
Paraprevotella xylaniphila	956	762982.0
Actinobaculum schaalii	959	883067.0
Aerococcus urinae	961	866775.0
Oligella urethralis	965	1401065.0
Prevotella loescheii	976	1122985.0
Treponema medium	977	1125700.0
Fusobacterium mortiferum	980	469616.0
Blautia producta	986	33035.0
Porphyromonas somerae	1000	1122975.0
Neisseria sicca	1045	547045.0
Prevotella denticola	1047	767031.0
Selenomonas infelix	1069	679201.0
Neisseria lactamica	1070	489653.0
Acinetobacter gerneri	1071	202952.0
Acinetobacter baumannii	1076	470.0
Acinetobacter calcoaceticus	1078	871585.0
Ruminococcus bicirculans	1084	1160721.0
Enterococcus durans	1086	1140001.0
Bacteroides faecis	1089	1077285.0
Eubacterium sulci	1105	888727.0
Bacteroides clarus	1113	762984.0
Eubacterium xylanophilum	1121	1336241.0
Sphingobium yanoikuyae	1129	13690.0
Debaryomyces hansenii	1135	4959.0
Coraliomargarita akajimensis	1196	583355.0
Spirochaeta thermophila	1197	665571.0
Methylobacterium radiotolerans	1207	426355.0
Bacillus alcalophilus	1208	1218173.0
Mycobacterium phlei	1210	1150599.0
Lactobacillus rossiae	1211	1114972.0
Acinetobacter radioresistens	1215	575589.0
Fusobacterium perfoetens	1223	1408439.0
Eubacterium dolichum	1225	428127.0
Lactobacillus johnsonii	1243	257314.0
Acinetobacter junii	1248	40215.0
Actinomyces europaeus	1249	883069.0
Bacteroides cellulosilyticus	1250	1268240.0
Propionibacterium avidum	1254	1170318.0
Staphylococcus capitis	1255	435838.0
Atopobium rimae	1258	553184.0
Streptococcus thoraltensis	1259	1123318.0
Aspergillus fumigatus	1285	746128.0
Collinsella intestinalis	1289	521003.0
Campylobacter ureolyticus	1290	827.0
Neisseria cinerea	1295	546262.0
Sphingomonas echinoides	1306	1112212.0
Leptotrichia goodfellowii	1308	596323.0
Blautia hydrogenotrophica	1313	476272.0
Blautia hansenii	1320	537007.0
Treponema phagedenis	1322	754027.0
Megamonas rupellensis	1328	1122217.0
Actinomyces dentalis	1334	1120941.0
Actinomyces israelii	1335	1120944.0
Actinomyces georgiae	1339	1120942.0
Candida dubliniensis	1344	42374.0
Clostridium cellulovorans	1347	573061.0
Coprobacter fastidiosus	1348	1349822.0
Prevotella amnii	1362	679191.0
Shuttleworthia satelles	1366	626523.0
Capnocytophaga canimorsus	1380	860228.0
Scardovia inopinata	1383	641146.0
Torulaspora delbrueckii	1384	4950.0
Lactobacillus parafarraginis	1388	797515.0
Cryptobacterium curtum	1393	469378.0
Eubacterium infirmum	1394	883109.0
Lactobacillus sanfranciscensis	1398	714313.0
Acinetobacter johnsonii	1408	575586.0
Parabacteroides johnsonii	1410	999419.0
Corynebacterium striatum	1427	525268.0
Ruminococcus gauvreauii	1428	1123075.0
Rhodococcus erythropolis	1439	234621.0
Clostridium celatum	1469	545697.0
Kluyvera ascorbata	1474	1006000.0
Bacteroides nordii	1475	997884.0
Mycoplasma pneumoniae	1493	722438.0
Anaerococcus hydrogenalis	1497	561177.0
Veillonella montpellierensis	1499	1401067.0
Lactobacillus amylolyticus	1505	585524.0
Oscillibacter valericigenes	1510	693746.0
Leuconostoc citreum	1512	349519.0
Butyrivibrio crossotus	1513	511680.0
Staphylococcus xylosus	1515	1288.0
Alkaliphilus oremlandii	1517	350688.0
Bacteroides barnesiae	1520	1121094.0
Lactobacillus antri	1527	525309.0
Mycobacterium vaccae	1535	1194972.0
Lactobacillus zeae	1537	1423816.0
Prevotella marshii	1538	862515.0
Prevotella corporis	1540	1122981.0
Clostridium paraputrificum	1551	1280689.0
Dialister succinatiphilus	1555	742743.0
Oribacterium parvum	1560	796945.0
Acinetobacter guillouiae	1567	1217656.0
Anaerotruncus colihominis	1568	445972.0
Anaerofustis stercorihominis	1569	445971.0
Aspergillus flavus	1576	5059.0
Aspergillus niger	1577	5061.0
Bacteroides fluxus	1581	763034.0
