Fold,AUC,AUPR,F1,Accuracy
1,0.9847847847847848,0.9820635442530955,0.9239766081871345,0.9353233830845771
2,0.991740412979351,0.9907633999794705,0.9534883720930233,0.9605911330049262
3,0.9928282828282828,0.9900175627956658,0.9418604651162791,0.95
4,0.987037037037037,0.984528429006172,0.9508196721311475,0.9545454545454546
5,0.9822420634920634,0.9767651969848916,0.9265536723163842,0.9356435643564357
